artifact_prefix,split,fold,horizon,issue_start,issue_end,target_date,target_day_name,target_month,target_year,open_store_count,open_row_count,target_total_customers,mean_target_customers,total_abs_error,mae,rmse,mean_signed_error,daily_wape,promo_rate_target,schoolholiday_rate_target,stateholiday_rate_target,stateholiday_code,has_promo_heavy_target,has_schoolholiday_signal,has_stateholiday_signal,daily_wape_rank,daily_wape_p90_cutoff,is_top_decile_spike
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-23,Tuesday,12,2014,922,922,1114233.0,1208.4956616052061,79938.99888533811,86.70173414895673,124.49128686923714,33.579880873305676,7.174352122521781,0.0,1.0,0.0,0,0,1,0,12,9.51501736426562,0
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-25,Thursday,12,2014,16,16,24451.0,1528.1875,1729.762040999624,108.1101275624765,169.02217360063727,53.4865842078037,7.074402032635165,0.0,1.0,1.0,c,0,1,1,13,9.51501736426562,0
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-13,Saturday,12,2014,922,922,722840.0,783.9913232104121,50834.681922416996,55.135229850777655,83.19015289391375,12.393388744762408,7.03263266039746,0.0,0.0,0.0,0,0,0,0,14,9.51501736426562,0
flaml,val,1,14,2014-11-08,2014-12-19,2015-01-02,Friday,1,2015,1100,1100,822738.0,747.9436363636364,57732.22712185271,52.48384283804792,74.4847198981474,13.30602398874728,7.017085283754088,0.0,1.0,0.0,0,0,1,0,15,9.51501736426562,0
flaml,val,2,1,2015-01-17,2015-02-27,2015-02-16,Monday,2,2015,1068,1068,874553.0,818.8698501872659,126768.81590117345,118.69739316589275,178.9893501345823,1.2648535871497726,14.4952696864768,1.0,0.2350187265917603,0.0,0,1,1,0,1,6.72887206339148,1
flaml,val,2,1,2015-01-17,2015-02-27,2015-01-24,Saturday,1,2015,1099,1099,633273.0,576.2265696087352,61481.906270553285,55.94349979122228,74.85464548359735,-5.6069468324350185,9.708594282490061,0.0,0.0,0.0,0,0,0,0,2,6.72887206339148,1
flaml,val,2,1,2015-01-17,2015-02-27,2015-02-17,Tuesday,2,2015,1096,1096,828138.0,755.6003649635037,64317.450795363766,58.68380547022242,96.10100024148815,2.1606157639972445,7.766513648131563,1.0,0.229014598540146,0.0,0,1,1,0,3,6.72887206339148,1
flaml,val,2,1,2015-01-17,2015-02-27,2015-02-12,Thursday,2,2015,1099,1099,725171.0,659.8462238398544,52934.642117806376,48.16618937016049,94.28298243048089,-20.373235170297903,7.299608246579963,0.0,0.11464968152866242,0.0,0,0,1,0,4,6.72887206339148,1
flaml,val,2,1,2015-01-17,2015-02-27,2015-02-23,Monday,2,2015,1098,1098,710150.0,646.7668488160291,47881.92470041105,43.608310291813346,59.50210762611214,-9.826663225072032,6.74250858275168,0.0,0.0,0.0,0,0,0,0,5,6.72887206339148,1
flaml,val,2,1,2015-01-17,2015-02-27,2015-01-30,Friday,1,2015,1099,1099,922326.0,839.2411282984532,60930.17807540867,55.44147231611344,75.44803937481275,11.931844514611944,6.60614338914968,1.0,0.0,0.0,0,1,0,0,6,6.72887206339148,0
flaml,val,2,1,2015-01-17,2015-02-27,2015-02-02,Monday,2,2015,1099,1099,994521.0,904.9326660600545,65665.43944993774,59.750172383928785,80.27707807852642,15.554999465505926,6.602720249239356,1.0,0.18471337579617833,0.0,0,1,1,0,7,6.72887206339148,0
flaml,val,2,1,2015-01-17,2015-02-27,2015-01-25,Sunday,1,2015,17,17,31891.0,1875.9411764705883,2051.1235645789366,120.65432732817274,141.4889470971289,16.52163617604765,6.431669011880896,0.0,0.0,0.0,0,0,0,0,8,6.72887206339148,0
flaml,val,2,1,2015-01-17,2015-02-27,2015-02-09,Monday,2,2015,1100,1100,761142.0,691.9472727272728,47649.67951337523,43.31789046670475,61.43027688277295,8.049205767944741,6.260287766720958,0.0,0.11454545454545455,0.0,0,0,1,0,9,6.72887206339148,0
